ZIP	COUNT	CITY	COUNTY
98335	269	Gig Harbor	Pierce
98607	246	Camas	Clark
98391	225		
98221	202	Anacortes	Skagit
98277	196	Oak Harbor	Island
98332	185	Gig Harbor	Pierce
98042	161	Kent	King
98604	152	Battle Ground	Clark
98837	142	Moses Lake	Grant
98012	142	Mill Creek	Snohomish
98103	140	Seattle	King
98682	137	Vancouver	Clark
98116	137	Seattle	King
98052	135	Redmond	King
98671	135	Washougal	Clark
98225	135	Bellingham	Whatcom
98258	134	Lake Stevens	Snohomish
98092	133	Zcta 98092	King
98382	133	Sequim	Clallam
98226	133	Bellingham	Whatcom
99208	131	Spokane	Spokane
98223	129	Arlington	Snohomish
98290	128	Snohomish	Snohomish
98110	126	Bainbridge Islan	Kitsap
98115	125	Seattle	King
98027	121	Issaquah	King
98038	120	Maple Valley	King
98501	119	Olympia	Thurston
98374	119	Puyallup	Pierce
98926	118	Ellensburg	Kittitas
98229	117		
98006	116	Bellevue	King
98801	115	Wenatchee	Chelan
98058	113	Renton	King
98033	113	Kirkland	King
99224	111	Spokane	Spokane
99301	111	Pasco	Franklin
99362	108	Walla Walla	Walla Walla
98034	106	Kirkland	King
98059	105	Renton	King
98642	104	Ridgefield	Clark
98208	102	Everett	Snohomish
98004	101	Beaux Arts	King
98250	99	Friday Harbor	San Juan
99163	99	Pullman	Whitman
98908	99	Wide Hollow	Yakima
98166	98	Normandy Park	King
98275	97	Mukilteo	Snohomish
99223	96	Spokane	Spokane
98338	93	Graham	Pierce
98513	92	Lacey	Thurston
98040	92	Mercer Island	King
98296	91	Zcta 98296	Snohomish
98109	91	Seattle	King
98684	91	Cascade Park	Clark
98661	90	Vancouver	Clark
98367	89	Zcta 98367	Kitsap
98685	88	Felida	Clark
98512	88	Olympia	Thurston
98023	88	Federal Way	King
98117	87	Seattle	King
98026	87	Edmonds	Snohomish
98370	87	Poulsbo	Kitsap
98022	86	Enumclaw	King
98321	84	Buckley	Pierce
98516	84	Lacey	Thurston
98125	83	Seattle	King
99206	82	Spokane	Spokane
98118	80	Seattle	King
99352	80	Richland	Benton
98072	80	Woodinville	King
98122	80	Seattle	King
98387	79	Spanaway	Pierce
98203	77	Everett	Snohomish
98292	77	Stanwood	Snohomish
98407	77	Tacoma	Pierce
98105	76	Seattle	King
98502	76	Olympia	Thurston
98056	74	Renton	King
98466	74	Fircrest	Pierce
98102	74	Seattle	King
98074	74		
98802	73	East Wenatchee	Douglas
98422	73	Tacoma	Pierce
98584	72	Shelton	Mason
98375	72	Zcta 98375	Pierce
